TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_EDIDifferenzen;0;2019-06-15 08:08:20.610;9
T_EDIDokumente;1222;2018-09-27 14:20:01.800;23
T_EDIDokumentPositionen;1457;2018-09-27 14:20:01.793;25
T_EDIKonfigurationen;3;2018-09-27 14:20:00.430;9
T_EDIPositionDetails;16638;2018-09-27 14:20:01.790;12
T_EDIRouting;3;2018-09-27 14:19:59.903;11
T_EDIUpload;5463;2018-09-27 14:19:59.907;11

(7 rows affected)
TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_BestellungenJournal;2411;2018-09-27 14:20:02.800;8
T_EAIJournal;12641;2018-09-27 14:19:59.547;59
T_EAIJournalAdresse;50564;2018-09-27 14:19:59.837;53
T_EAIJournalAmo;0;2018-09-27 14:20:03.437;13
T_EAIJournalBeleg;0;2018-09-27 14:20:03.440;7
T_EAIJournalBestellPosition;4392;2018-09-27 14:19:59.553;56
T_EAIJournalEx;0;2018-09-27 14:20:03.447;104
T_EAIJournalLayout;0;2018-09-27 14:20:01.523;13
T_EAIJournalLeistungsPosition;0;2018-09-27 14:20:00.880;33
T_EAIJournalLeistungsVorlageZuordnung;0;2018-09-27 14:20:00.050;9
T_EAIJournalLieferPosition;129899;2018-09-27 14:20:01.217;18
T_EAIJournalPosition;13902;2018-09-27 14:19:59.560;91
T_EAIJournalSynch;11883;2018-09-27 14:20:00.427;14
T_EAIJournalText;0;2018-09-27 14:20:02.087;17
T_EAIJournalTextPosition;0;2018-09-27 14:20:03.463;13
T_EAIJournalTextVorlageZuordnung;0;2018-09-27 14:20:02.173;11
T_EAIJournalWarenPosition;14435;2018-09-27 14:20:00.863;99
T_SperrJournal;3264;2018-09-27 14:20:01.347;19

(18 rows affected)
TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_AxIncasTransferQueueEntry;0;2022-03-13 17:08:22.950;13
T_AxTransferQueueEntry;0;2021-08-15 16:07:37.943;12
T_ExportInventurAbweichungen;0;2018-09-27 14:20:03.480;10
T_ExportLagerBestand;0;2018-09-27 14:20:03.483;12
T_ExportLagerDauer;0;2018-09-27 14:20:03.487;11
T_ExportPalettenBewegungenLager;0;2018-09-27 14:20:03.497;7
T_ExportPalettenBewegungenLKW;0;2018-09-27 14:20:03.490;7
T_ExportPalettenBewegungenProduktion;0;2018-09-27 14:20:03.500;7
T_ExportSchnittstellen;1;2018-09-27 14:20:03.503;10
T_ExportVerpackungskosten;0;2018-09-27 14:20:03.510;8
T_ExportVerpackungsVerhaeltnisse;0;2018-09-27 14:20:03.507;9
T_HistoryEKImport;0;2018-09-27 14:20:02.070;13
T_HistoryVKImport;0;2018-09-27 14:20:01.163;23
T_QueueExterneOperationen;0;2018-09-27 14:20:03.590;18
T_QueueLagerOperationen;0;2018-09-27 14:20:03.597;14
T_TransferQueue;0;2025-10-20 08:29:59.987;7

(16 rows affected)
TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_EAIJournalBeleg;0;2018-09-27 14:20:03.440;7
T_EDIDokumente;1222;2018-09-27 14:20:01.800;23
T_EDIDokumentPositionen;1457;2018-09-27 14:20:01.793;25

(3 rows affected)
TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE
----------;-----------;---------;------------------------;-----------
syncobj_0x3038393436314444;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3046364445393634;IdEDIDokumentPosition;int;NULL;NO
syncobj_0x3046364445393634;IdEDIDokument;int;NULL;NO
syncobj_0x3136463530373334;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3136463530373334;EDITyp;int;NULL;NO
syncobj_0x3136463530373334;EDIRichtung;int;NULL;NO
syncobj_0x3138313742374439;IdEDIDifferenz;int;NULL;NO
syncobj_0x3142383643453736;IdSpediteur;int;NULL;YES
syncobj_0x3231333738313937;IdEDIDifferenz;int;NULL;NO
syncobj_0x3243414531363745;IdEDIDokument;int;NULL;NO
syncobj_0x3243414531363745;EDITyp;int;NULL;NO
syncobj_0x3243414531363745;EDIRichtung;int;NULL;NO
syncobj_0x3243414531363745;EDISchemaVersion;int;NULL;YES
syncobj_0x3245443641413130;IdSpediteur;int;NULL;YES
syncobj_0x3246363830413141;ProduzierteMengeEditierbar;int;NULL;YES
syncobj_0x3330464343454544;IdSpediteur;int;NULL;NO
syncobj_0x3335393937393535;BlockedItemState;int;NULL;NO
syncobj_0x3338393544343035;IdEDIPositionDetail;int;NULL;NO
syncobj_0x3338393544343035;IdEDIDokumentPosition;int;NULL;NO
syncobj_0x3345383231423442;ProduzierteMengeEditierbar;int;NULL;YES
syncobj_0x3430344132363733;IdEDIKonfiguration;int;NULL;YES
syncobj_0x3436353846413542;IdSpediteur;int;NULL;NO
syncobj_0x3437333034373834;IdSpediteur;int;NULL;NO
syncobj_0x3439383641413237;IdEDIDokument;int;NULL;NO
syncobj_0x3439383641413237;EDITyp;int;NULL;NO
syncobj_0x3439383641413237;EDIRichtung;int;NULL;NO
syncobj_0x3439383641413237;EDISchemaVersion;int;NULL;YES
syncobj_0x3441314446414237;IdSpediteur;int;NULL;YES
syncobj_0x3441314446414237;SpediteurBez;nvarchar;100;YES
syncobj_0x3441324631304246;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3441324631304246;EdiImportStatus;int;NULL;YES
syncobj_0x3441324631304246;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3441324631304246;EdiImportPlausi;int;NULL;YES
syncobj_0x3441324631304246;EdiAbrufMenge;float;NULL;YES
syncobj_0x3441324631304246;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3441324631304246;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3441324631304246;EdiImportAkzeptanz;int;NULL;YES
syncobj_0x3441324631304246;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3535433943384645;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3545313542303438;IdSpediteur;int;NULL;YES
syncobj_0x3545313542303438;SpediteurBez;nvarchar;100;YES
syncobj_0x3632413838333036;IdEDIDokumentPosition;int;NULL;NO
syncobj_0x3632413838333036;IdEDIDokument;int;NULL;NO
syncobj_0x3636374443354133;EditMengeVPK;float;NULL;NO
syncobj_0x3636374443354133;EditMenge;float;NULL;NO
syncobj_0x3636374443354133;EditGesperrteMenge;float;NULL;YES
syncobj_0x3636374443354133;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x3638363835424538;IdSpediteur;int;NULL;NO
syncobj_0x3642334235333741;IdSpediteur;int;NULL;YES
syncobj_0x3642334235333741;SpediteurBez;nvarchar;100;YES
syncobj_0x3645323630394232;IdSpediteur;int;NULL;NO
syncobj_0x3645454430384135;EdiImportStatus;int;NULL;YES
syncobj_0x3645454430384135;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3645454430384135;EdiImportPlausi;int;NULL;YES
syncobj_0x3645454430384135;IdEdiDokument;int;NULL;YES
syncobj_0x3646373544313934;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3733324334303831;EditMengeVPK;float;NULL;NO
syncobj_0x3733324334303831;EditMenge;float;NULL;NO
syncobj_0x3733324334303831;EditGesperrteMenge;float;NULL;YES
syncobj_0x3733324334303831;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x3741433443454535;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3741433443454535;EdiImportStatus;int;NULL;YES
syncobj_0x3741433443454535;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3741433443454535;EdiImportPlausi;int;NULL;YES
syncobj_0x3741433443454535;EdiAbrufMenge;float;NULL;YES
syncobj_0x3741433443454535;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3741433443454535;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3741433443454535;EdiAbrufLadeDatum;datetime;NULL;YES
syncobj_0x3741433443454535;EdiAbrufDatum;datetime;NULL;YES
syncobj_0x3741433443454535;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3743313736303639;EditMengeVPK;float;NULL;NO
syncobj_0x3743313736303639;EditMenge;float;NULL;NO
syncobj_0x3743313736303639;EditGesperrteMenge;float;NULL;YES
syncobj_0x3743313736303639;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x3830383436454337;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3830383436454337;EdiImportStatus;int;NULL;YES
syncobj_0x3830383436454337;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3830383436454337;EdiImportPlausi;int;NULL;YES
syncobj_0x3830383436454337;EdiAbrufMenge;float;NULL;YES
syncobj_0x3830383436454337;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3830383436454337;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3830383436454337;EdiImportAkzeptanz;int;NULL;YES
syncobj_0x3830383436454337;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3831424238373631;IdSpediteur;int;NULL;YES
syncobj_0x3832374430374343;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3835344441433335;EdiImportStatus;int;NULL;YES
syncobj_0x3835344441433335;EdiImportPlausi;int;NULL;YES
syncobj_0x3835344441433335;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3835344441433335;EdiPositionsMenge;float;NULL;YES
syncobj_0x3835344441433335;EdiPositionsMengeVPK;float;NULL;YES
syncobj_0x3835344441433335;EdiPositionsLiefertermin;datetime;NULL;YES
syncobj_0x3836314533413937;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3836314533413937;EDITyp;int;NULL;NO
syncobj_0x3836314533413937;EDIRichtung;int;NULL;NO
syncobj_0x3836374332384236;EdiImportStatus;int;NULL;YES
syncobj_0x3836374332384236;EdiImportPlausi;int;NULL;YES
syncobj_0x3836374332384236;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3836374332384236;EdiPositionsMenge;float;NULL;YES
syncobj_0x3836374332384236;EdiPositionsMengeVPK;float;NULL;YES
syncobj_0x3836374332384236;EdiPositionsLiefertermin;datetime;NULL;YES
syncobj_0x3936383333354333;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3943424231324430;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x4132304638333530;BlockedItemState;int;NULL;NO
syncobj_0x4143343841424346;IdSpediteurAdresse;int;NULL;NO
syncobj_0x4143443045304443;IdSpediteur;int;NULL;NO
syncobj_0x4144353535353931;IdSpediteur;int;NULL;NO
syncobj_0x4230464537463235;IdSpediteur;int;NULL;YES
syncobj_0x4246353946413630;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x4334454442353044;IdSpediteuradresse;int;NULL;NO
syncobj_0x4336383130313135;IdSpediteurAdresse;int;NULL;NO
syncobj_0x4341393433304639;EdiImportStatus;int;NULL;YES
syncobj_0x4341393433304639;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x4341393433304639;EdiImportPlausi;int;NULL;YES
syncobj_0x4341393433304639;IdEdiDokument;int;NULL;YES
syncobj_0x4433373538383730;IdSpediteuradresse;int;NULL;NO
syncobj_0x4437313044394345;IdEDIUpload;int;NULL;NO
syncobj_0x4437313044394345;IdEDIKonfiguration;int;NULL;NO
syncobj_0x4532443643463231;EditMengeVPK;float;NULL;NO
syncobj_0x4532443643463231;EditMenge;float;NULL;NO
syncobj_0x4532443643463231;EditGesperrteMenge;float;NULL;YES
syncobj_0x4532443643463231;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x4533433743333646;IdSpediteur;int;NULL;YES
syncobj_0x4533433743333646;SpediteurBez;nvarchar;100;YES
syncobj_0x4535313437393343;IdEDIKonfiguration;int;NULL;YES
syncobj_0x4643394144423446;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x4643394144423446;EdiImportStatus;int;NULL;YES
syncobj_0x4643394144423446;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x4643394144423446;EdiImportPlausi;int;NULL;YES
syncobj_0x4643394144423446;EdiAbrufMenge;float;NULL;YES
