ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA1VMS006;AlplaPROD_aovia3;Microsoft SQL Server 2022 (RTM-CU24) (KB5080999) - 16.0.4245.2 (X64) 
	Feb 25 2026 15:01:38 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;2026-05-29 21:29:45.447

(1 rows affected)
SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)
SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
----------;---------;--------------;-----------;----------------
AlplaAPP;T_AppBenutzerRechte;0;2023-09-14 17:03:48.970;2026-05-20 12:09:04.200
AlplaAPP;T_AppHygieneStatus;0;2023-09-14 17:03:54.017;2026-05-20 12:09:04.230
AlplaAPP;T_AppOcpDrucker;0;2023-09-14 17:03:53.973;2026-05-20 12:09:04.280
AlplaAPP;T_AppOcpLogPrinted;0;2023-09-14 17:03:54.840;2026-05-20 12:09:04.290
AlplaAPP;T_AppRechte;4;2023-09-14 17:03:48.960;2026-05-20 12:09:04.323
AlplaAPP;T_AppStaplerAufgaben;0;2023-09-14 17:03:51.757;2026-05-20 12:09:04.360
AlplaAPP;T_AppStaplerEingaenge;0;2023-09-14 17:03:53.537;2026-05-20 12:09:04.383
AlplaAPP;T_AppStaplerInventuren;0;2023-09-14 17:03:54.127;2026-05-20 12:09:04.417
AlplaAPP;T_AppStaplerPlanungen;0;2023-09-14 17:03:52.383;2026-05-20 12:09:04.453
AlplaAPP;T_AppThemen;1;2023-09-14 17:03:48.980;2026-05-20 12:09:04.467
dbo;__MigrationHistory;0;2023-09-14 17:03:55.573;2026-05-20 07:40:22.087
dbo;T_AbfallAttribute;35;2023-09-14 17:03:53.920;2026-05-20 12:09:03.567
dbo;T_AbfallHerkuenfte;14;2023-09-14 17:03:50.077;2026-05-20 12:09:03.657
dbo;T_AbfallmaterialGruppenHauptMaterialGruppen;25;2023-09-14 17:03:52.160;2026-05-20 12:09:03.690
