TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_Abrufe;0;48
T_AuftragsAbrufe;0;64
T_AuftragsAbrufeHistorie;0;51
T_EAIKundenAbrufBestaetigungen;0;13
T_EAIKundenAbrufe;0;15
T_KundenAbrufBestaetigungen;0;22
T_KundenAbrufe;0;39
T_KundenAbrufeHistorie;0;18

(8 rows affected)
TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_EAIJournalLieferPosition;0;18
T_InhouseLieferungen;4353;20
T_LieferantenbewertungAbgrenzung;0;8
T_LieferantenBewertungen;0;27
T_LieferantenBewertungenHistorie;0;12
T_LieferantenReklamationen;0;9
T_LieferantenReklamationsPositionen;0;22
T_LieferBuchungen;0;40
T_Lieferkonditionen;11;10
T_LieferKonten;0;19
T_LieferKontenArchiv;0;14
T_LieferPositionen;0;36
T_Lieferscheine;0;26
T_LieferscheinLayouts;0;11
T_LieferscheinPositionen;0;17
T_Lieferungen;0;20
T_ZentraleLieferanten;909;12

(17 rows affected)
TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_ArtikelvariantenTyp_LadeEinheiten;0;8
T_EDIUpload;2625;11
T_EntladeAuftraege;0;14
T_EntladePlanungen;0;12
T_EntladePositionen;0;12
T_LadeAuftraege;0;38
T_LadeEinheiten;5;7
T_LadePlanungen;0;34
T_LadePositionen;0;12
T_VpkVorschrift_LadeEinheiten;19;7

(10 rows affected)
TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_ExportPalettenBewegungenLKW;0;7
T_HistoryTransportkosten;0;19
T_LKWTypen;1;9
T_TransportTypen;13;9

(4 rows affected)
TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;IS_NULLABLE
----------;-----------;----------------;---------;------------------------;-----------------;-------------;-----------
T_Abrufe;IdAbrufe;1;int;NULL;10;0;NO
T_Abrufe;IdKonto;2;int;NULL;10;0;NO
T_Abrufe;Lieferdatum;3;datetime;NULL;NULL;NULL;NO
T_Abrufe;MengeVPK;4;float;NULL;53;NULL;NO
T_Abrufe;Menge;5;float;NULL;53;NULL;NO
T_Abrufe;LieferStatus;6;int;NULL;10;0;NO
T_Abrufe;Abrufnummer;7;nvarchar;50;NULL;NULL;YES
T_Abrufe;AbgleichTyp;8;int;NULL;10;0;NO
T_Abrufe;AbgleichStatus;9;int;NULL;10;0;NO
T_Abrufe;Status;10;int;NULL;10;0;NO
T_Abrufe;Bemerkung;11;nvarchar;1024;NULL;NULL;YES
T_Abrufe;Add_User;12;nvarchar;50;NULL;NULL;NO
T_Abrufe;Add_Date;13;datetime;NULL;NULL;NULL;NO
T_Abrufe;Upd_User;14;nvarchar;50;NULL;NULL;YES
T_Abrufe;Upd_Date;15;datetime;NULL;NULL;NULL;YES
T_Abrufe;IdAuftrag;16;int;NULL;10;0;YES
T_Abrufe;AuftragsNummer;17;nvarchar;50;NULL;NULL;YES
T_Abrufe;IdAuftragsPosition;18;int;NULL;10;0;YES
T_Abrufe;IdAuftragsAbruf;19;int;NULL;10;0;YES
T_Abrufe;AbrufDatum;20;datetime;NULL;NULL;NULL;YES
T_Abrufe;AbrufAbdeckung;21;float;NULL;53;NULL;YES
T_Abrufe;AbrufStatus;22;int;NULL;10;0;YES
T_Abrufe;MengenToleranzVereinbarung;23;int;NULL;10;0;YES
T_Abrufe;MengenToleranzMin;24;float;NULL;53;NULL;YES
T_Abrufe;MengenToleranzMax;25;float;NULL;53;NULL;YES
T_Abrufe;IdKundenAdresse;26;int;NULL;10;0;YES
T_Abrufe;IdLieferAdresse;27;int;NULL;10;0;YES
T_Abrufe;IdRechnungsAdresse;28;int;NULL;10;0;YES
T_Abrufe;IdLieferKondition;29;int;NULL;10;0;NO
T_Abrufe;LieferKonditionBez;30;nvarchar;250;NULL;NULL;NO
T_Abrufe;KontoToleranz;31;int;NULL;10;0;YES
T_Abrufe;Typ;32;int;NULL;10;0;YES
T_Abrufe;LadeStatus;33;int;NULL;10;0;YES
T_Abrufe;IdZahlKond;34;int;NULL;10;0;YES
T_Abrufe;ZahlKondBez;35;nvarchar;50;NULL;NULL;YES
T_Abrufe;Skonto;36;real;NULL;24;NULL;YES
T_Abrufe;Skontotage;37;int;NULL;10;0;YES
T_Abrufe;Nettotage;38;int;NULL;10;0;YES
T_Abrufe;LetztesLieferDatum;39;datetime;NULL;NULL;NULL;YES
T_Abrufe;LieferscheinText;40;nvarchar;1024;NULL;NULL;YES
T_Abrufe;LadeDatum;41;datetime;NULL;NULL;NULL;NO
T_Abrufe;KdArtNr;42;nvarchar;100;NULL;NULL;YES
T_Abrufe;KdArtBez;43;nvarchar;100;NULL;NULL;YES
T_Abrufe;PlanMenge;44;float;NULL;53;NULL;YES
T_Abrufe;PlanMengeVPK;45;float;NULL;53;NULL;YES
T_Abrufe;LadeMenge;46;float;NULL;53;NULL;YES
T_Abrufe;LadeMengeVPK;47;float;NULL;53;NULL;YES
T_Abrufe;Bestrahlt;48;int;NULL;10;0;YES
T_ArtikelvariantenTyp_LadeEinheiten;IdArtikelvariantenTyp_LadeEinheit;1;int;NULL;10;0;NO
