TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_Wareneingaenge;2497;42
T_WareneingangAuftraege;3655;24
T_WareneingangBewertungen;3904;9
T_WareneingangPlanungen;3965;34
T_WareneingangPositionen;58038;13

(5 rows affected)
TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_AktuellerLagerBestand;257;15
T_BestandsGrenzen;0;13
T_EAIKundenBestand;0;15
T_ExportLagerBestand;0;12
T_ExportLagerDauer;0;11
T_ExportPalettenBewegungenLager;0;7
T_ExportPalettenBewegungenLKW;0;7
T_ExportPalettenBewegungenProduktion;0;7
T_InhouseBewegungen;4179;13
T_KonsignationsBewegungen;0;21
T_KundenBestand;0;22
T_KundenBestandHistorie;0;21
T_Lager;1;10
T_LagerabgleichBarcodes;0;17
T_LagerabgleichBarcodesExtern;0;8
T_LagerabgleichBarcodesIntern;0;11
T_LagerAbteilungen;10019;31
T_LagerAbteilungenInventuren;11;11
T_Lagerbestand;0;13
T_LagerBestandsHistorie;142163;19
T_LagerBuchungen;221066;37
T_LagerFehler;0;13
T_LagerKonten;457;17
T_LagerKontenArchiv;0;16
T_LagerLose;125680;5
T_LagerPlanungen;0;28
T_LagerPositionen;21237;30
T_LogHistorizeStocks;132692;4
T_QueueLagerOperationen;0;14
T_Umlagerungen;0;17
T_VerfuegbarerLagerbestand;17;8
T_WarenLager;12;23

(32 rows affected)
TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;IS_NULLABLE
----------;-----------;----------------;---------;------------------------;-----------------;-------------;-----------
T_Wareneingaenge;IdWareneingang;1;int;NULL;10;0;NO
T_Wareneingaenge;Typ;2;int;NULL;10;0;NO
T_Wareneingaenge;AbgleichStatus;3;int;NULL;10;0;NO
T_Wareneingaenge;IdJournal;4;int;NULL;10;0;NO
T_Wareneingaenge;IdJournalPosition;5;int;NULL;10;0;NO
T_Wareneingaenge;IdJournalWarenPosition;6;int;NULL;10;0;NO
T_Wareneingaenge;IdRetourware;7;int;NULL;10;0;NO
T_Wareneingaenge;IdVpkRuecknahme;8;int;NULL;10;0;NO
T_Wareneingaenge;IdUmlagerung;9;int;NULL;10;0;NO
T_Wareneingaenge;Datum;10;datetime;NULL;NULL;NULL;NO
T_Wareneingaenge;Beleg;11;nvarchar;50;NULL;NULL;NO
T_Wareneingaenge;IdAuftragsAbruf;12;int;NULL;10;0;NO
T_Wareneingaenge;IdSperrgrund;13;int;NULL;10;0;NO
T_Wareneingaenge;IdLieferantAdresse;14;int;NULL;10;0;NO
T_Wareneingaenge;IdKundenAdresse;15;int;NULL;10;0;NO
T_Wareneingaenge;IdLieferAdresse;16;int;NULL;10;0;NO
T_Wareneingaenge;IdRechnungsAdresse;17;int;NULL;10;0;NO
T_Wareneingaenge;IdArtikelVarianten;18;int;NULL;10;0;NO
T_Wareneingaenge;IdAdresse;19;int;NULL;10;0;NO
T_Wareneingaenge;IdVpkVorschrift;20;int;NULL;10;0;NO
T_Wareneingaenge;IdHauptmaterial;21;int;NULL;10;0;NO
