ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA2VMS006;AlplaPROD_aovia2;Microsoft SQL Server 2022 (RTM) - 16.0.1000.6 (X64) 
	Oct  8 2022 05:58:25 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;5/29/2026 11:11:50 PM

(1 rows affected)

SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)

SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
----------;---------;--------------;-----------;----------------
AlplaAPP;T_AppBenutzerRechte;0;9/27/2018 2:20:02 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppHygieneStatus;0;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppOcpDrucker;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppOcpLogPrinted;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppRechte;4;9/27/2018 2:20:02 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppStaplerAufgaben;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppStaplerEingaenge;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
AlplaAPP;T_AppStaplerInventuren;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:14 AM
AlplaAPP;T_AppStaplerPlanungen;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:14 AM
AlplaAPP;T_AppThemen;1;9/27/2018 2:20:02 PM;5/20/2026 8:33:14 AM
dbo;__MigrationHistory;0;9/27/2018 2:20:03 PM;7/22/2025 2:28:34 PM
dbo;T_AbfallAttribute;61;9/27/2018 2:20:02 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallHerkuenfte;14;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallmaterialGruppenHauptMaterialGruppen;24;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallmaterialGruppenProdBereich;56;9/27/2018 2:20:01 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallNachfuellContainer;1;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallReinheiten;5;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallTypen;11;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallTypenAbfallHerkuenfte;106;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_AbfallVerwendungszwecke;4;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_Abrufe;1661;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
dbo;T_ActivityLog;35;9/27/2018 2:20:03 PM;5/20/2026 8:33:13 AM
dbo;T_ADGruppe_BenutzerRollen;151;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
dbo;T_ADGruppe_WindowsBenutzer;240;9/27/2018 2:20:00 PM;5/20/2026 8:33:13 AM
dbo;T_AdressBeziehungen;146;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_Adressen;73;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_Adressentyp;4;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_AktuellerLagerBestand;525;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_AlplaPRODViewWhitelist;729;9/27/2018 2:20:03 PM;9/27/2018 2:20:03 PM
dbo;T_AlternativHauptmaterialien;156;9/27/2018 2:20:02 PM;5/20/2026 8:33:13 AM
dbo;T_AlternativRezepturen;579;9/27/2018 2:19:59 PM;5/20/2026 8:33:13 AM
dbo;T_ApiLog;0;10/31/2023 1:59:05 PM;10/31/2023 1:59:05 PM
dbo;T_ArtikelKlassifikationen;9;9/27/2018 2:19:59 PM;5/20/2026 8:33:14 AM
dbo;T_Artikeltyp;6;9/27/2018 2:19:59 PM;5/20/2026 8:33:14 AM
