TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_EDIDifferenzen;0;5/29/2019 6:58:41 PM;9
T_EDIDokumente;950;9/27/2018 2:20:01 PM;23
T_EDIDokumentPositionen;1063;9/27/2018 2:20:01 PM;25
T_EDIKonfigurationen;2;9/27/2018 2:20:00 PM;9
T_EDIPositionDetails;11145;9/27/2018 2:20:01 PM;12
T_EDIRouting;2;9/27/2018 2:19:59 PM;11
T_EDIUpload;1647;9/27/2018 2:19:59 PM;11

(7 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_BestellungenJournal;842;9/27/2018 2:20:02 PM;8
T_EAIJournal;4295;9/27/2018 2:19:59 PM;59
T_EAIJournalAdresse;17180;9/27/2018 2:19:59 PM;53
T_EAIJournalAmo;0;9/27/2018 2:20:03 PM;13
T_EAIJournalBeleg;1;9/27/2018 2:20:03 PM;7
T_EAIJournalBestellPosition;1519;9/27/2018 2:19:59 PM;56
T_EAIJournalEx;0;9/27/2018 2:20:03 PM;104
T_EAIJournalLayout;0;9/27/2018 2:20:01 PM;13
T_EAIJournalLeistungsPosition;0;9/27/2018 2:20:00 PM;33
T_EAIJournalLeistungsVorlageZuordnung;0;9/27/2018 2:20:00 PM;9
T_EAIJournalLieferPosition;48226;9/27/2018 2:20:01 PM;18
T_EAIJournalPosition;4676;9/27/2018 2:19:59 PM;91
T_EAIJournalSynch;3747;9/27/2018 2:20:00 PM;14
T_EAIJournalText;0;9/27/2018 2:20:02 PM;17
T_EAIJournalTextPosition;0;9/27/2018 2:20:03 PM;13
T_EAIJournalTextVorlageZuordnung;0;9/27/2018 2:20:02 PM;11
T_EAIJournalWarenPosition;4901;9/27/2018 2:20:00 PM;99
T_SperrJournal;2599;9/27/2018 2:20:01 PM;19

(18 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_AxIncasTransferQueueEntry;0;3/13/2022 5:08:22 PM;13
T_AxTransferQueueEntry;0;8/4/2021 2:05:01 PM;12
T_ExportInventurAbweichungen;0;9/27/2018 2:20:03 PM;10
T_ExportLagerBestand;0;9/27/2018 2:20:03 PM;12
T_ExportLagerDauer;0;9/27/2018 2:20:03 PM;11
T_ExportPalettenBewegungenLager;0;9/27/2018 2:20:03 PM;7
T_ExportPalettenBewegungenLKW;0;9/27/2018 2:20:03 PM;7
T_ExportPalettenBewegungenProduktion;0;9/27/2018 2:20:03 PM;7
T_ExportSchnittstellen;1;9/27/2018 2:20:03 PM;10
T_ExportVerpackungskosten;0;9/27/2018 2:20:03 PM;8
T_ExportVerpackungsVerhaeltnisse;0;9/27/2018 2:20:03 PM;9
T_HistoryEKImport;0;9/27/2018 2:20:02 PM;13
T_HistoryVKImport;0;9/27/2018 2:20:01 PM;23
T_QueueExterneOperationen;0;9/27/2018 2:20:03 PM;18
T_QueueLagerOperationen;0;9/27/2018 2:20:03 PM;14
T_TransferQueue;0;10/20/2025 8:39:25 AM;7

(16 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_EAIJournalBeleg;1;9/27/2018 2:20:03 PM;7
T_EDIDokumente;950;9/27/2018 2:20:01 PM;23
T_EDIDokumentPositionen;1063;9/27/2018 2:20:01 PM;25

(3 rows affected)

TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE
----------;-----------;---------;------------------------;-----------
syncobj_0x3030414543374343;IdSpediteur;int;;NO
syncobj_0x3031454633373836;EditMengeVPK;float;;NO
syncobj_0x3031454633373836;EditMenge;float;;NO
syncobj_0x3031454633373836;EditGesperrteMenge;float;;YES
syncobj_0x3031454633373836;EditGesperrteMengeVPK;float;;YES
syncobj_0x3036314334313535;EdiImportStatus;int;;YES
syncobj_0x3036314334313535;EdiImportPlausi;int;;YES
syncobj_0x3036314334313535;EdiImportPlausiKategorie;int;;YES
syncobj_0x3036314334313535;EdiPositionsMenge;float;;YES
syncobj_0x3036314334313535;EdiPositionsMengeVPK;float;;YES
syncobj_0x3036314334313535;EdiPositionsLiefertermin;datetime;;YES
syncobj_0x3133333946303431;IdSpediteurAdresse;int;;NO
syncobj_0x3133414437464632;IdSpediteur;int;;YES
syncobj_0x3144373842353445;IdSpediteur;int;;YES
syncobj_0x3144373842353445;SpediteurBez;nvarchar;100;YES
syncobj_0x3145413546334544;IdSpediteur;int;;NO
syncobj_0x3146393735353939;IdSpediteur;int;;YES
syncobj_0x3230444541354435;IdEDIKonfiguration;int;;YES
syncobj_0x3236414633433239;IdSpediteuradresse;int;;NO
syncobj_0x3336353734303539;IdSpediteurAdresse;int;;NO
syncobj_0x3336424136303131;IdEDIDokumentPosition;int;;YES
syncobj_0x3339334334354336;IdEDIDokumentPosition;int;;YES
syncobj_0x3342433334393941;BlockedItemState;int;;NO
syncobj_0x3342434639333542;IdEDIDokumentPosition;int;;NO
syncobj_0x3342434639333542;IdEDIDokument;int;;NO
syncobj_0x3430413833413342;EdiImportStatus;int;;YES
syncobj_0x3430413833413342;EdiImportPlausiKategorie;int;;YES
syncobj_0x3430413833413342;EdiImportPlausi;int;;YES
syncobj_0x3430413833413342;IdEdiDokument;int;;YES
syncobj_0x3432363435413339;BlockedItemState;int;;NO
syncobj_0x3438364442433339;IdSpediteur;int;;YES
syncobj_0x3438364442433339;SpediteurBez;nvarchar;100;YES
syncobj_0x3545383134444231;IdEDIDokumentPosition;int;;YES
syncobj_0x3545383134444231;EdiImportStatus;int;;YES
syncobj_0x3545383134444231;EdiImportPlausiKategorie;int;;YES
syncobj_0x3545383134444231;EdiImportPlausi;int;;YES
syncobj_0x3545383134444231;EdiAbrufMenge;float;;YES
syncobj_0x3545383134444231;EdiAbrufMengeVPK;float;;YES
syncobj_0x3545383134444231;EdiAbrufLiefertermin;datetime;;YES
syncobj_0x3545383134444231;EdiAbrufLadeDatum;datetime;;YES
syncobj_0x3545383134444231;EdiAbrufDatum;datetime;;YES
syncobj_0x3545383134444231;EdiIdVpkVorschrift;int;;YES
syncobj_0x3633443045463143;IdEDIDokumentPosition;int;;YES
syncobj_0x3636443633333044;IdSpediteur;int;;YES
syncobj_0x3642383536323738;IdEDIUpload;int;;NO
syncobj_0x3642383536323738;IdEDIKonfiguration;int;;NO
syncobj_0x3644324330393131;IdSpediteur;int;;NO
syncobj_0x3733453242363638;IdSpediteur;int;;NO
syncobj_0x3736394642413833;IdEDIPositionDetail;int;;NO
syncobj_0x3736394642413833;IdEDIDokumentPosition;int;;NO
syncobj_0x3739433543393042;IdEDIDokumentPosition;int;;YES
syncobj_0x3739433543393042;EdiImportStatus;int;;YES
syncobj_0x3739433543393042;EdiImportPlausiKategorie;int;;YES
syncobj_0x3739433543393042;EdiImportPlausi;int;;YES
syncobj_0x3739433543393042;EdiAbrufMenge;float;;YES
