TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
__MigrationHistory;0;9/27/2018 2:20:03 PM;3
MSpeer_originatorid_history;0;7/22/2025 3:08:14 PM;7
T_AuftragsAbrufeHistorie;15;9/27/2018 2:19:59 PM;51
T_EtikettenHistorie;148906;11/12/2025 8:33:00 AM;12
T_FuellLosHistorie;0;9/27/2018 2:20:01 PM;22
T_HistorieProtokoll;0;9/27/2018 2:20:03 PM;9
T_HistoryEK;324;9/27/2018 2:19:59 PM;23
T_HistoryEKImport;0;9/27/2018 2:20:02 PM;13
T_HistoryEKKunden;0;9/27/2018 2:19:59 PM;12
T_HistoryEKProtokoll;0;9/27/2018 2:20:01 PM;21
T_HistoryEKStaffel;0;9/27/2018 2:20:02 PM;18
T_HistoryProduktiondatenDetails;59752;9/27/2018 2:20:02 PM;8
T_HistoryProduktionsdaten;59752;9/27/2018 2:20:02 PM;12
T_HistoryStillstandsereignis;2997;9/27/2018 2:20:03 PM;11
T_HistoryTransportkosten;0;9/27/2018 2:20:01 PM;19
T_HistoryVK;664;9/27/2018 2:19:59 PM;56
T_HistoryVKImport;0;9/27/2018 2:20:01 PM;23
T_HistoryVKProtokoll;0;9/27/2018 2:20:02 PM;45
T_Identifikation_EtikettenHistorie;0;9/27/2018 2:20:01 PM;7
T_KontenHistorie;268791;9/27/2018 2:20:00 PM;18
T_KundenAbrufeHistorie;0;9/27/2018 2:20:02 PM;18
T_KundenBestandHistorie;0;9/27/2018 2:20:02 PM;21
T_LagerBestandsHistorie;336074;9/27/2018 2:19:59 PM;19
T_LieferantenBewertungenHistorie;0;9/27/2018 2:20:03 PM;12
T_LogHistorizeStocks;219724;9/27/2018 2:20:00 PM;4
T_ProdPlanungHistory;51466;9/27/2018 2:20:03 PM;57
T_PrognosenHistorie;0;9/27/2018 2:20:01 PM;21
T_Update_History;2200;9/27/2018 2:20:03 PM;9

(28 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------

(0 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
MSpeer_topologyrequest;0;7/22/2025 3:08:14 PM;3
MSpeer_topologyresponse;0;7/22/2025 3:08:14 PM;8
T_ActivityLog;35;9/27/2018 2:20:03 PM;8
T_ApiLog;0;10/31/2023 1:59:05 PM;16
T_AppOcpLogPrinted;0;9/27/2018 2:20:03 PM;8
T_EtikettenLog;0;9/27/2018 2:20:01 PM;10
T_HistorieProtokoll;0;9/27/2018 2:20:03 PM;9
T_HistoryEKProtokoll;0;9/27/2018 2:20:01 PM;21
T_HistoryVKProtokoll;0;9/27/2018 2:20:02 PM;45
T_LogBenutzer;2214;9/27/2018 2:20:00 PM;19
T_LogEUROLOG;0;9/27/2018 2:20:03 PM;13
T_LogHistorizeStocks;219724;9/27/2018 2:20:00 PM;4

(12 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_ActivityLog;35;9/27/2018 2:20:03 PM;8
T_HistoryStillstandsereignis;2997;9/27/2018 2:20:03 PM;11
T_Stillstandsereignis;3807;9/27/2018 2:20:03 PM;13

(3 rows affected)

TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------

(0 rows affected)

TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;IS_NULLABLE
----------;-----------;----------------;---------;------------------------;-----------------;-----------
__MigrationHistory;MigrationId;1;nvarchar;255;;NO
__MigrationHistory;Model;2;varbinary;-1;;NO
__MigrationHistory;ProductVersion;3;nvarchar;32;;NO
MSpeer_originatorid_history;originator_publication;1;nvarchar;128;;NO
MSpeer_originatorid_history;originator_id;2;int;;10;NO
MSpeer_originatorid_history;originator_node;3;nvarchar;128;;NO
MSpeer_originatorid_history;originator_db;4;nvarchar;128;;NO
MSpeer_originatorid_history;originator_db_version;5;int;;10;NO
MSpeer_originatorid_history;originator_version;6;int;;10;NO
MSpeer_originatorid_history;inserted_date;7;datetime;;;NO
MSpeer_topologyrequest;id;1;int;;10;NO
MSpeer_topologyrequest;publication;2;nvarchar;128;;NO
MSpeer_topologyrequest;sent_date;3;datetime;;;YES
MSpeer_topologyresponse;request_id;1;int;;10;YES
MSpeer_topologyresponse;peer;2;nvarchar;128;;NO
MSpeer_topologyresponse;peer_version;3;int;;10;YES
MSpeer_topologyresponse;peer_db;4;nvarchar;128;;NO
MSpeer_topologyresponse;originator_id;5;int;;10;YES
MSpeer_topologyresponse;peer_conflict_retention;6;int;;10;YES
MSpeer_topologyresponse;received_date;7;datetime;;;YES
MSpeer_topologyresponse;connection_info;8;xml;-1;;YES
T_ActivityLog;IdActivityLog;1;int;;10;NO
T_ActivityLog;Datum;2;datetime;;;NO
T_ActivityLog;Namespace;3;nvarchar;255;;NO
T_ActivityLog;Bemerkung;4;nvarchar;1024;;NO
T_ActivityLog;Add_User;5;nvarchar;50;;NO
T_ActivityLog;Add_Date;6;datetime;;;NO
T_ActivityLog;Upd_User;7;nvarchar;50;;YES
T_ActivityLog;Upd_Date;8;datetime;;;YES
T_ApiLog;IdApiLog;1;int;;10;NO
T_ApiLog;HttpMethod;2;nvarchar;255;;NO
T_ApiLog;Path;3;nvarchar;255;;NO
T_ApiLog;Server;4;nvarchar;255;;NO
T_ApiLog;Client;5;nvarchar;255;;NO
T_ApiLog;Status;6;int;;10;NO
T_ApiLog;UserAgent;7;nvarchar;255;;NO
T_ApiLog;ContentType;8;nvarchar;255;;NO
T_ApiLog;Authorization;9;int;;10;NO
T_ApiLog;ExecutionTime;10;bigint;;19;NO
T_ApiLog;Query;11;nvarchar;-1;;NO
T_ApiLog;RequestBody;12;nvarchar;-1;;NO
T_ApiLog;Add_User;13;nvarchar;50;;NO
T_ApiLog;Add_Date;14;datetime;;;NO
T_ApiLog;Upd_User;15;nvarchar;50;;YES
T_ApiLog;Upd_Date;16;datetime;;;YES
T_AppOcpLogPrinted;IdAppOcpLogPrinted;1;int;;10;NO
T_AppOcpLogPrinted;IdEtikettenDrucker;2;int;;10;NO
T_AppOcpLogPrinted;IdMaschine;3;int;;10;NO
T_AppOcpLogPrinted;AlplaLABEL_Port;4;int;;10;NO
T_AppOcpLogPrinted;Add_Date;5;datetime;;;NO
T_AppOcpLogPrinted;Add_User;6;nvarchar;50;;NO
T_AppOcpLogPrinted;Upd_Date;7;datetime;;;YES
T_AppOcpLogPrinted;Upd_User;8;nvarchar;50;;YES
T_AuftragsAbrufeHistorie;IdAuftragsAbrufeHistorie;1;int;;10;NO
T_AuftragsAbrufeHistorie;IdAuftragsAbruf;2;int;;10;YES
T_AuftragsAbrufeHistorie;IdAuftragsPosition;3;int;;10;YES
T_AuftragsAbrufeHistorie;IdAuftrag;4;int;;10;YES
T_AuftragsAbrufeHistorie;IdProduktionsArtikel;5;int;;10;YES
