"TABLE_NAME","COLUMN_NAME","DATA_TYPE"
"ParametrosGCP","TipoDocAutFolhaVenc","nvarchar"
"ParametrosGCP","SerieDocAutFolhaVenc","nvarchar"
"ParametrosGCP","TipoDocLiqFolhaVenc","nvarchar"
"ParametrosGCP","SerieDocLiqFolhaVenc","nvarchar"
"ParametrosGCP","TipoDocGRFolhaVenc","nvarchar"
"ParametrosGCP","SerieDocGRFolhaVenc","nvarchar"
"ParametrosGCP","TipoContaFolhaVenc","nvarchar"
"ParametrosGCP","EstadoAntesAutFolhaVenc","nvarchar"
"ParametrosGCP","EstadoAposAutFolhaVenc","nvarchar"
"V_Clientes","SuporteAvisosVencimento","nvarchar"
"V_CabecDocOrigemCBL","DataVencimento","datetime"
"RHP_MapaSOAT","Ordenado","float"
"ParametrosRHP","CodVencimento","nvarchar"
"ParametrosRHP","CodIndPagSalarios","nvarchar"
"ParametrosRHP","SalarioMinimoNacional","float"
"ParametrosRHP","LigCBLFolhasVenc","bit"
"ParametrosRHP","LigCBLFolhasVencIndep","bit"
"ParametrosRHP","LigCCFolhasVenc","bit"
"ParametrosRHP","LigCCFolhasVencIndep","bit"
"V_FuncionariosSIOE","Vencimento","float"
"V_FuncionariosSIOE","VencimentoMensal","float"
"V_FuncionariosSIOE","VencimentoLiquidoEstimado","money"
"V_FuncionariosSIOE","VencimentoDiario","float"
"V_FuncionariosSIOE","TipoCalculoVencimento","smallint"
"V_FuncionariosSIOE","VencimentoConjSupLimite","bit"
"MotivosSaida","PagaSalarios","bit"
"V_MovimentosFuncionarios","SalarioHora","float"
"V_MovimentosFuncionarios","VencimentoBase","float"
"V_MovimentosFuncionarios","VencimentoLiquido","float"
"V_MovimentosFuncionarios","SalarioHoraHExtra","float"
"V_MovimentosFuncionarios","SalarioHoraTurno","float"
"V_MovimentosFuncionarios","VencimentoBaseEfectivo","float"
"V_MovimentosFuncionarios","PagaSalariosFC","bit"
"V_MovimentosFuncionarios","VencimentoDiario","float"
"V_MovimentosFuncionarios","TipoCalculoVencimento","smallint"
"V_MovimentosFuncionarios","TipoProcessamentoSalarioHora","tinyint"
"V_MovimentosFuncionarios","FormulaSalarioHora","nvarchar"
"RHP_LinhasDeclaracaoRENT","SalarioBase","float"
"MovimentosFuncionarios","SalarioHora","float"
"MovimentosFuncionarios","VencimentoBase","float"
"MovimentosFuncionarios","VencimentoLiquido","float"
"MovimentosFuncionarios","SalarioHoraHExtra","float"
"MovimentosFuncionarios","SalarioHoraTurno","float"
"MovimentosFuncionarios","VencimentoBaseEfectivo","float"
"MovimentosFuncionarios","PagaSalariosFC","bit"
"MovimentosFuncionarios","VencimentoDiario","float"
"MovimentosFuncionarios","TipoCalculoVencimento","smallint"
"MovimentosFuncionarios","TipoProcessamentoSalarioHora","tinyint"
"MovimentosFuncionarios","FormulaSalarioHora","nvarchar"
"MovimentosFuncionarios","MesesCalculoSalarioHora","smallint"
"RHP_MapaRemuneracoesIRT","SalarioBase","float"
"RHP_MapaRemuneracoesIRT","ValorSalarioIliq","float"
"FuncCategorias","RegimeVencimentoIndice100","int"
"V_CabecCompras","DataVencimento","datetime"
"LinhasFolhaVencOrganica","Ano","smallint"
"LinhasFolhaVencOrganica","NumFolha","int"
"LinhasFolhaVencOrganica","Funcionario","nvarchar"
"LinhasFolhaVencOrganica","NumProc","int"
"LinhasFolhaVencOrganica","IdLinha","smallint"
"LinhasFolhaVencOrganica","TipoTabela","smallint"
"LinhasFolhaVencOrganica","CodMov","nvarchar"
"LinhasFolhaVencOrganica","TipoVenc","smallint"
"LinhasFolhaVencOrganica","ClassEconomica","nvarchar"
"LinhasFolhaVencOrganica","Percentagem","real"
"LinhasFolhaVencOrganica","Valor","float"
"LinhasFolhaVencOrganica","DescargaCbl","bit"
"LinhasFolhaVencOrganica","DescargaCC","bit"
"LinhasFolhaVencOrganica","Independente","nvarchar"
"LinhasFolhaVencOrganica","TipoProc","tinyint"
"LinhasFolhaVencOrganica","IdFolha","int"
"LinhasFolhaVencOrganica","ChaveActInd","int"
"LinhasFolhaVencOrganica","idFuncRemCBL","uniqueidentifier"
